iso,country,topic,topic_label,count,total_speeches,share
BGR,Bulgaria,25,25_operation_south_africa_disarmament,1,49,0.02040816326530612
BGR,Bulgaria,26,26_israel_kampuchea_situation_south,1,49,0.02040816326530612
BGR,Bulgaria,29,29_bosnia_bosnia herzegovina_herzegovina_serbia,1,49,0.02040816326530612
BGR,Bulgaria,38,38_developing_south_africa_palestinian,1,49,0.02040816326530612
BGR,Bulgaria,44,44_boutros_process_human_rights,1,49,0.02040816326530612
BGR,Bulgaria,51,51_mexico_mexican_nuclear_latin,1,49,0.02040816326530612
BGR,Bulgaria,64,64_kuwait_operation_south_organisation,1,49,0.02040816326530612
BGR,Bulgaria,81,81_operation_environment_south_namibia,1,49,0.02040816326530612
BGR,Bulgaria,93,93_bulgaria_bulgarian_european_europe,23,49,0.46938775510204084
BGR,Bulgaria ,1,1_pandemic_covid_covid 19_19,1,2,0.5
BGR,Bulgaria ,93,93_bulgaria_bulgarian_european_europe,1,2,0.5
BGR,Republic of Bulgaria,0,0_sustainable_climate_change_climate change,1,1,1.0
BHR,Bahrain,0,0_sustainable_climate_change_climate change,2,26,0.07692307692307693
BHR,Bahrain,2,2_africa_african_south_south africa,1,26,0.038461538461538464
BHR,Bahrain,5,5_islands_pacific_solomon_solomon islands,1,26,0.038461538461538464
BHR,Bahrain,6,6_terrorism_11 september_2001_terrorist,1,26,0.038461538461538464
BHR,Bahrain,8,8_independence_operation_africa_special,1,26,0.038461538461538464
BHR,Bahrain,11,11_portugal_process_fiftieth_human,1,26,0.038461538461538464
BHR,Bahrain,14,14_south_brunei_darussalam_africa,1,26,0.038461538461538464
BHR,Bahrain,15,15_bangladesh_south_africa_operation,2,26,0.07692307692307693
BHR,Bahrain,16,16_reform_malaysia_human_rights,2,26,0.07692307692307693
BHR,Bahrain,20,20_zimbabwe_kampuchea_south_africa,1,26,0.038461538461538464
BHR,Bahrain,22,22_environment_organisation_democracy_rights,1,26,0.038461538461538464
BHR,Bahrain,24,24_mediation_challenges_peaceful_al nasser,2,26,0.07692307692307693
BHR,Bahrain,25,25_operation_south_africa_disarmament,1,26,0.038461538461538464
BHR,Bahrain,26,26_israel_kampuchea_situation_south,1,26,0.038461538461538464
BHR,Bahrain,38,38_developing_south_africa_palestinian,1,26,0.038461538461538464
BHR,Bahrain,44,44_boutros_process_human_rights,1,26,0.038461538461538464
BHR,Bahrain,54,54_iraq_terrorism_baghdad_vieira mello,1,26,0.038461538461538464
BHR,Bahrain,57,57_gabon_africa_gabonese_african,2,26,0.07692307692307693
BHR,Bahrain,64,64_kuwait_operation_south_organisation,1,26,0.038461538461538464
BHR,Bahrain,79,79_kuwait_iraq_arab_israel,1,26,0.038461538461538464
BHR,Bahrain,81,81_operation_environment_south_namibia,1,26,0.038461538461538464
BHR,Kingdom of Bahrain,1,1_pandemic_covid_covid 19_19,1,1,1.0
BHS,Bahamas,4,4_caribbean_bahamas_tobago_trinidad tobago,32,40,0.8
BHS,Bahamas,6,6_terrorism_11 september_2001_terrorist,1,40,0.025
BHS,Bahamas,11,11_portugal_process_fiftieth_human,1,40,0.025
BHS,Bahamas,14,14_south_brunei_darussalam_africa,1,40,0.025
BHS,Bahamas,25,25_operation_south_africa_disarmament,1,40,0.025
BHS,Bahamas,31,31_century_east timor_timor_human,1,40,0.025
BHS,Bahamas,40,40_millennium_globalization_millennium summit_summit,1,40,0.025
BHS,Bahamas,54,54_iraq_terrorism_baghdad_vieira mello,1,40,0.025
BHS,Bahamas,79,79_kuwait_iraq_arab_israel,1,40,0.025
BHS,Bahamas ,4,4_caribbean_bahamas_tobago_trinidad tobago,1,1,1.0
BHS,Commonwealth of the Bahamas,4,4_caribbean_bahamas_tobago_trinidad tobago,2,2,1.0
BIH,Bosnia,29,29_bosnia_bosnia herzegovina_herzegovina_serbia,1,1,1.0
BIH,Bosnia and Herzegovia,29,29_bosnia_bosnia herzegovina_herzegovina_serbia,1,1,1.0
BIH,Bosnia and Herzegovina,0,0_sustainable_climate_change_climate change,3,24,0.125
BIH,Bosnia and Herzegovina,6,6_terrorism_11 september_2001_terrorist,1,24,0.041666666666666664
BIH,Bosnia and Herzegovina,29,29_bosnia_bosnia herzegovina_herzegovina_serbia,19,24,0.7916666666666666
BIH,Bosnia and Herzegovina,86,86_syria_syrian_2015_terrorism,1,24,0.041666666666666664
BIH,Bosnia and Herzegovina ,0,0_sustainable_climate_change_climate change,1,2,0.5
BIH,Bosnia and Herzegovina ,1,1_pandemic_covid_covid 19_19,1,2,0.5
BLR,BSSR,78,78_malta_mediterranean_european_libya,1,1,1.0
BLR,BelSSR,25,25_operation_south_africa_disarmament,1,1,1.0
BLR,Belarus,0,0_sustainable_climate_change_climate change,9,35,0.2571428571428571
BLR,Belarus,3,3_soviet_soviet union_union_war,9,35,0.2571428571428571
BLR,Belarus,6,6_terrorism_11 september_2001_terrorist,3,35,0.08571428571428572
BLR,Belarus,7,7_war_great_soviet_israel,2,35,0.05714285714285714
BLR,Belarus,9,9_israel_palestinian_israeli_arab,1,35,0.02857142857142857
BLR,Belarus,10,10_ukraine_russia_moldova_ukrainian,8,35,0.22857142857142856
BLR,Belarus,22,22_environment_organisation_democracy_rights,1,35,0.02857142857142857
BLR,Belarus,76,76_iraq_iraqi_iranian_iran,1,35,0.02857142857142857
BLR,Belarus,93,93_bulgaria_bulgarian_european_europe,1,35,0.02857142857142857
BLR,Belarus ,0,0_sustainable_climate_change_climate change,1,1,1.0
BLR,"Belarus, Byelorussian Soviet Socialist Republic",3,3_soviet_soviet union_union_war,1,1,1.0
BLR,Byelorussian Soviet Socialist Republic,3,3_soviet_soviet union_union_war,17,23,0.7391304347826086
BLR,Byelorussian Soviet Socialist Republic,7,7_war_great_soviet_israel,2,23,0.08695652173913043
